Name,Gender,Year,Season,Type,Brand,Agencies,Photographers
Yasmeen Ghauri,F,1992,fall,ready-to-wear,versace,,Condé Nast Archive
Yasmeen Ghauri,F,1993,spring,ready-to-wear,prada,,Condé Nast Archive
Yasmeen Ghauri,F,1994,spring,ready-to-wear,chanel,,
Yasmeen Ghauri,F,1992,spring,ready-to-wear,prada,,"Condé Nast Archive,Courtesy Of Prada"
Yasmeen Ghauri,F,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Yasmeen Ghauri,F,1993,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Yasmeen Ghauri,F,1994,spring,ready-to-wear,jean-paul-gaultier,,Condé Nast Archive
Yasmeen Ghauri,F,1992,spring,ready-to-wear,mugler,,Condé Nast Archive
Sandra Bernhard,,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Veronica Webb,,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Veronica Webb,,1992,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Veronica Webb,,1993,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Lucie de la Falaise,F,1994,spring,ready-to-wear,calvin-klein-collection,,
Lucie de la Falaise,F,1993,spring,ready-to-wear,anna-sui,,Condé  Nast Archive
Lucie de la Falaise,F,1994,spring,ready-to-wear,anna-sui,,Condé Nast Archive
Lucie de la Falaise,F,1994,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Lucie de la Falaise,F,1994,fall,ready-to-wear,john-galliano,,Guy Marineau
Cecilia Chancellor,F,1993,spring,ready-to-wear,maison-martin-margiela,,Condé Nast Archive
Cecilia Chancellor,F,1994,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Cecilia Chancellor,F,1994,spring,ready-to-wear,chanel,,
Cecilia Chancellor,F,1994,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Cecilia Chancellor,F,1992,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Cecilia Chancellor,F,1994,fall,ready-to-wear,helmut-lang,,Condé Nast Archive
Cecilia Chancellor,F,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Cecilia Chancellor,F,1993,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Linda Evangelista,F,1994,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,DNA,Condé Nast Archive
Linda Evangelista,F,1994,fall,ready-to-wear,helmut-lang,DNA,Condé Nast Archive
Linda Evangelista,F,1992,fall,ready-to-wear,versace,DNA,Condé Nast Archive
Linda Evangelista,F,1993,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,DNA,Condé Nast Archive
Linda Evangelista,F,1993,spring,ready-to-wear,prada,DNA,Condé Nast Archive
Linda Evangelista,F,1994,fall,ready-to-wear,comme-des-garcons,DNA,Condé Nast Archive
Linda Evangelista,F,1992,spring,ready-to-wear,comme-des-garcons,DNA,Condé Nast Archive
Linda Evangelista,F,1992,spring,ready-to-wear,prada,DNA,"Condé Nast Archive,Courtesy Of Prada"
Linda Evangelista,F,1994,spring,ready-to-wear,anna-sui,DNA,"Courtesy Of Anna Sui,Condé Nast Archive"
Linda Evangelista,F,1992,fall,ready-to-wear,comme-des-garcons,DNA,Condé Nast Archive
Linda Evangelista,F,1994,fall,ready-to-wear,john-galliano,DNA,Guy Marineau
Heather Stewart-Whyte,F,1992,spring,ready-to-wear,mugler,,Condé Nast Archive
Suzanne von Aichinger,,1993,spring,ready-to-wear,maison-martin-margiela,,Condé Nast Archive
Christy Turlington Burns,,1994,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,,Condé Nast Archive
Christy Turlington Burns,,1994,spring,ready-to-wear,prada,,Condé Nast Archive
Christy Turlington Burns,,1994,spring,ready-to-wear,anna-sui,,"Courtesy Of Anna Sui,Condé Nast Archive"
Christy Turlington Burns,,1992,fall,ready-to-wear,versace,,Condé Nast Archive
Christy Turlington Burns,,1993,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,,Condé Nast Archive
Christy Turlington Burns,,1994,spring,ready-to-wear,chanel,,
Christy Turlington Burns,,1993,spring,ready-to-wear,perry-ellis,,Condé  Nast Archive
Christy Turlington Burns,,1994,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Christy Turlington Burns,,1992,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Christy Turlington Burns,,1994,fall,ready-to-wear,helmut-lang,,Condé Nast Archive
Christy Turlington Burns,,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Christy Turlington Burns,,1993,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Christy Turlington Burns,,1994,spring,ready-to-wear,jean-paul-gaultier,,Condé Nast Archive
Christy Turlington Burns,,1994,fall,ready-to-wear,john-galliano,,Guy Marineau
Eva Herzigova,F,1994,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,"STORM,ONE",Condé Nast Archive
Eva Herzigova,F,1992,spring,ready-to-wear,mugler,"STORM,ONE",Condé Nast Archive
Simonetta Gianfelici,F,1994,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,,Condé Nast Archive
Simonetta Gianfelici,F,1993,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,,Condé Nast Archive
Kirsten Owen,F,1994,fall,ready-to-wear,comme-des-garcons,"OUI,SELECT,ONE",Condé Nast Archive
Kirsten Owen,F,1994,spring,ready-to-wear,jean-paul-gaultier,"OUI,SELECT,ONE",Condé Nast Archive
Kirsten Owen,F,1992,spring,ready-to-wear,comme-des-garcons,"OUI,SELECT,ONE",Condé Nast Archive
Kirsten Owen,F,1994,spring,ready-to-wear,comme-des-garcons,"OUI,SELECT,ONE",Condé Nast Archive
Kirsten Owen,F,1994,fall,ready-to-wear,helmut-lang,"OUI,SELECT,ONE",Condé Nast Archive
Victoire de Castellane,,1994,spring,ready-to-wear,chanel,,
Naomi Campbell,F,1994,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,"D'MANAGEMENT,MARILYN,TESS",Condé Nast Archive
Naomi Campbell,F,1994,spring,ready-to-wear,anna-sui,"D'MANAGEMENT,MARILYN,TESS","Courtesy Of Anna Sui,Condé Nast Archive"
Naomi Campbell,F,1994,spring,ready-to-wear,chanel,"D'MANAGEMENT,MARILYN,TESS",
Naomi Campbell,F,1992,fall,ready-to-wear,versace,"D'MANAGEMENT,MARILYN,TESS",Condé Nast Archive
Naomi Campbell,F,1993,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,"D'MANAGEMENT,MARILYN,TESS",Condé Nast Archive
Naomi Campbell,F,1993,spring,ready-to-wear,prada,"D'MANAGEMENT,MARILYN,TESS",Condé Nast Archive
Naomi Campbell,F,1993,spring,ready-to-wear,anna-sui,"D'MANAGEMENT,MARILYN,TESS",Condé  Nast Archive
Naomi Campbell,F,1993,spring,ready-to-wear,perry-ellis,"D'MANAGEMENT,MARILYN,TESS",Condé  Nast Archive
Naomi Campbell,F,1992,spring,ready-to-wear,comme-des-garcons,"D'MANAGEMENT,MARILYN,TESS",Condé Nast Archive
Naomi Campbell,F,1992,spring,ready-to-wear,prada,"D'MANAGEMENT,MARILYN,TESS","Condé Nast Archive,Courtesy Of Prada"
Naomi Campbell,F,1994,fall,ready-to-wear,john-galliano,"D'MANAGEMENT,MARILYN,TESS",Guy Marineau
Naomi Campbell,F,1994,spring,ready-to-wear,jean-paul-gaultier,"D'MANAGEMENT,MARILYN,TESS",Condé Nast Archive
Naomi Campbell,F,1992,spring,ready-to-wear,mugler,"D'MANAGEMENT,MARILYN,TESS",Condé Nast Archive
Chrystèle Saint Louis Augustin,,1994,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Carla Bruni,F,1994,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,MARILYN,Condé Nast Archive
Carla Bruni,F,1994,spring,ready-to-wear,anna-sui,MARILYN,Condé Nast Archive
Carla Bruni,F,1992,fall,ready-to-wear,versace,MARILYN,Condé Nast Archive
Carla Bruni,F,1994,spring,ready-to-wear,chanel,MARILYN,
Carla Bruni,F,1993,spring,ready-to-wear,anna-sui,MARILYN,Condé  Nast Archive
Carla Bruni,F,1993,spring,ready-to-wear,perry-ellis,MARILYN,Condé  Nast Archive
Carla Bruni,F,1992,spring,ready-to-wear,prada,MARILYN,"Condé Nast Archive,Courtesy Of Prada"
Carla Bruni,F,1994,fall,ready-to-wear,john-galliano,MARILYN,Guy Marineau
Tatjana Patitz,F,1994,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,"ELITE,TRUMP",Condé Nast Archive
Tatjana Patitz,F,1992,spring,ready-to-wear,prada,"ELITE,TRUMP","Condé Nast Archive,Courtesy Of Prada"
Tatjana Patitz,F,1992,spring,ready-to-wear,comme-des-garcons,"ELITE,TRUMP",Condé Nast Archive
Tatjana Patitz,F,1994,fall,ready-to-wear,helmut-lang,"ELITE,TRUMP",Condé Nast Archive
Tatjana Patitz,F,1992,fall,ready-to-wear,comme-des-garcons,"ELITE,TRUMP",Condé Nast Archive
Tatjana Patitz,F,1993,spring,ready-to-wear,comme-des-garcons,"ELITE,TRUMP",Condé Nast Archive
Tatjana Patitz,F,1994,spring,ready-to-wear,jean-paul-gaultier,"ELITE,TRUMP",Condé Nast Archive
Michele Hicks,F,1994,spring,ready-to-wear,prada,MARILYN,Condé Nast Archive
Michele Hicks,F,1994,spring,ready-to-wear,anna-sui,MARILYN,"Courtesy Of Anna Sui,Condé Nast Archive"
Michele Hicks,F,1994,spring,ready-to-wear,calvin-klein-collection,MARILYN,
Michele Hicks,F,1994,spring,ready-to-wear,chanel,MARILYN,
Michele Hicks,F,1994,fall,ready-to-wear,comme-des-garcons,MARILYN,Condé Nast Archive
Michele Hicks,F,1994,spring,ready-to-wear,jean-paul-gaultier,MARILYN,Condé Nast Archive
Michele Hicks,F,1994,fall,ready-to-wear,john-galliano,MARILYN,Guy Marineau
Claudia Huidobro,F,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Claudia Huidobro,F,1992,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Claudia Huidobro,F,1993,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Karl Lagerfeld,,1994,spring,ready-to-wear,chanel,,
Lypsinka,M,1992,spring,ready-to-wear,mugler,,Condé Nast Archive
Yasmin Le Bon,F,1993,fall,ready-to-wear,andreas-kronthaler-for-vivienne-westwood,,Condé Nast Archive
Yasmin Le Bon,F,1994,spring,ready-to-wear,chanel,,
Yasmin Le Bon,F,1993,spring,ready-to-wear,perry-ellis,,Condé  Nast Archive
Marpessa Hennink,,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Marpessa Hennink,,1992,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Marpessa Hennink,,1993,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Marpessa Hennink,,1992,fall,ready-to-wear,versace,,Condé Nast Archive
