Name,Gender,Year,Season,Type,Brand,Agencies,Photographers
Bridget Hall,F,1993,fall,ready-to-wear,comme-des-garcons,"ONE,IMG LONDON",Condé Nast Archive
Bridget Hall,F,1994,spring,ready-to-wear,calvin-klein-collection,"ONE,IMG LONDON",
Bridget Hall,F,1994,spring,ready-to-wear,anna-sui,"ONE,IMG LONDON","Courtesy Of Anna Sui,Condé Nast Archive"
Rachel Williams,F,1992,spring,ready-to-wear,mugler,,Condé Nast Archive
Meghan Douglas,F,1993,spring,ready-to-wear,anna-sui,,Condé  Nast Archive
Meghan Douglas,F,1993,spring,ready-to-wear,prada,,"Condé Nast Archive,Courtesy Of Prada"
Meghan Douglas,F,1992,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Meghan Douglas,F,1993,spring,ready-to-wear,john-galliano,,Condé Nast Archive
Meghan Douglas,F,1994,spring,ready-to-wear,chanel,,
Gisele Zelauy,F,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Gisele Zelauy,F,1992,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Gisele Zelauy,F,1993,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Rosemary Ferguson,F,1994,spring,ready-to-wear,prada,,Condé Nast Archive
Rosemary Ferguson,F,1993,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Rosemary Ferguson,F,1994,spring,ready-to-wear,calvin-klein-collection,,
Rosemary Ferguson,F,1994,spring,ready-to-wear,anna-sui,,Condé Nast Archive
Rosemary Ferguson,F,1994,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Marcus Schenkenberg,M,1994,fall,ready-to-wear,helmut-lang,,Condé Nast Archive
Emma Balfour,F,1994,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Emma Balfour,F,1993,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Emma Balfour,F,1994,spring,ready-to-wear,calvin-klein-collection,,
Emma Balfour,F,1994,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Emma Balfour,F,1993,spring,ready-to-wear,maison-martin-margiela,,Condé Nast Archive
Diane Brill,,1992,spring,ready-to-wear,mugler,,Condé Nast Archive
Natane Boudreau,F,1994,spring,ready-to-wear,chanel,,
Natane Boudreau,F,1994,spring,ready-to-wear,calvin-klein-collection,,Condé Nast Archive
Amber Valletta,F,1994,fall,ready-to-wear,comme-des-garcons,WOMEN,Condé Nast Archive
Amber Valletta,F,1994,spring,ready-to-wear,prada,WOMEN,"Condé Nast Archive,Courtesy Of Prada"
Amber Valletta,F,1993,fall,ready-to-wear,comme-des-garcons,WOMEN,Condé Nast Archive
Amber Valletta,F,1994,spring,ready-to-wear,chanel,WOMEN,
Amber Valletta,F,1994,spring,ready-to-wear,comme-des-garcons,WOMEN,Condé Nast Archive
Patricia Velasquez,,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Lady Amanda Harlech,,1994,spring,ready-to-wear,prada,,Condé Nast Archive
Gail Elliot,,1993,spring,ready-to-wear,perry-ellis,,Condé  Nast Archive
Kiara Kabukuru,F,1994,spring,ready-to-wear,calvin-klein-collection,"IMG NEW YORK,IMG LONDON",
Nina Brosh,F,1994,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Shalom Harlow,F,1993,spring,ready-to-wear,john-galliano,"DNA,IMG LONDON",Condé Nast Archive
Shalom Harlow,F,1993,spring,ready-to-wear,prada,"DNA,IMG LONDON",Condé Nast Archive
Shalom Harlow,F,1993,spring,ready-to-wear,anna-sui,"DNA,IMG LONDON",Condé  Nast Archive
Shalom Harlow,F,1993,spring,ready-to-wear,perry-ellis,"DNA,IMG LONDON",Condé  Nast Archive
Shalom Harlow,F,1994,fall,ready-to-wear,comme-des-garcons,"DNA,IMG LONDON",Condé Nast Archive
Shalom Harlow,F,1993,fall,ready-to-wear,comme-des-garcons,"DNA,IMG LONDON",Condé Nast Archive
Shalom Harlow,F,1992,spring,ready-to-wear,comme-des-garcons,"DNA,IMG LONDON",Condé Nast Archive
Shalom Harlow,F,1993,spring,ready-to-wear,comme-des-garcons,"DNA,IMG LONDON",Condé Nast Archive
Shalom Harlow,F,1994,fall,ready-to-wear,john-galliano,"DNA,IMG LONDON",Guy Marineau
Benedetta Barzini,F,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
